candle_end_time,open,high,low,close,amount,info
2023-04-12,32.152,32.212,31.922,32.002,416128.000,
2023-04-13,31.912,32.502,31.512,32.272,634305.000,
2023-04-14,32.462,33.052,32.282,32.652,693923.000,
2023-04-17,32.582,33.462,32.362,33.462,893730.000,
2023-04-18,33.472,34.612,33.382,33.942,942715.000,
2023-04-19,34.102,34.102,33.562,33.762,510886.000,
2023-04-20,33.862,34.002,33.122,33.252,680915.000,
2023-04-21,33.252,33.442,32.692,32.762,531591.000,
2023-04-24,32.782,32.952,31.772,31.862,729874.000,
2023-04-25,31.872,32.402,31.772,32.292,512213.000,
2023-04-26,32.062,32.222,31.612,32.082,496501.000,
2023-04-27,31.232,31.252,30.402,30.892,1559279.000,
2023-04-28,30.722,32.012,30.672,31.862,940213.000,
2023-05-04,31.552,32.662,31.092,32.392,725433.000,
2023-05-05,32.442,33.322,32.412,32.952,800890.000,
2023-05-08,33.122,34.212,32.902,33.862,1064266.000,
2023-05-09,33.942,34.362,33.222,33.252,985530.000,
2023-05-10,33.162,33.382,32.552,32.662,638374.000,
2023-05-11,32.862,33.592,32.662,32.712,445803.000,
2023-05-12,32.732,32.812,32.262,32.302,459366.000,
2023-05-15,32.352,33.112,31.972,32.962,528095.000,
2023-05-16,33.212,33.462,32.832,33.082,385248.000,
2023-05-17,33.072,33.392,32.692,32.762,396376.000,
2023-05-18,32.992,33.102,32.472,32.712,329012.000,
2023-05-19,32.612,32.712,32.202,32.212,392990.000,
2023-05-22,32.242,32.602,32.242,32.462,296934.000,
2023-05-23,32.472,32.642,31.862,31.862,346921.000,
2023-05-24,31.852,31.852,31.192,31.192,463999.000,
2023-05-25,31.022,31.022,30.422,30.682,706051.000,
2023-05-26,30.702,31.122,30.482,31.002,294624.000,
2023-05-29,31.212,31.212,30.702,30.952,387301.000,
2023-05-30,30.952,31.162,30.622,30.902,340072.000,
2023-05-31,30.862,31.062,30.502,30.562,525414.000,
2023-06-01,30.572,30.762,30.282,30.322,472399.000,
2023-06-02,30.482,31.362,30.462,31.332,558856.000,
2023-06-05,31.332,31.532,31.102,31.302,312730.000,
2023-06-06,31.302,32.062,31.242,31.332,386634.000,
2023-06-07,31.512,31.872,31.422,31.562,338906.000,
2023-06-08,31.582,32.482,31.482,32.342,549615.000,
2023-06-09,32.312,32.512,32.002,32.002,415109.000,
2023-06-12,31.992,32.182,31.642,31.992,406774.000,
2023-06-13,31.822,32.202,31.762,31.992,231246.000,
2023-06-14,32.192,32.302,31.652,31.652,382633.000,
2023-06-15,31.762,32.052,31.572,31.982,369537.000,
2023-06-16,32.122,32.302,32.012,32.192,426806.000,
2023-06-19,32.172,32.172,31.822,31.842,278961.000,
